Date Time,Time,Serial,Act Conc
05/01/26 ,07:00, ,180.
05/01/26 ,07:02, ,180.
05/01/26 ,07:04, ,180.
05/01/26 ,07:06, ,180.
05/01/26 ,07:08, ,181.
05/01/26 ,07:10, ,180.
05/01/26 ,07:12, ,181.
05/01/26 ,07:14, ,180.
05/01/26 ,07:16, ,180.
05/01/26 ,07:18, ,120.
05/01/26 ,07:20, ,120.
05/01/26 ,07:22, ,120.
05/01/26 ,07:24, ,120.
05/01/26 ,07:26, ,120.
05/01/26 ,07:28, ,120.
05/01/26 ,07:30, ,120.
05/01/26 ,07:32, ,120.
05/01/26 ,07:34, ,120.
05/01/26 ,07:36, ,120.
05/01/26 ,07:38, ,120.
05/01/26 ,07:40, ,120.
05/01/26 ,07:42, ,120.
05/01/26 ,07:44, ,120.
05/01/26 ,07:46, ,120.
05/01/26 ,07:48, ,120.
05/01/26 ,07:50, ,120.
05/01/26 ,07:52, ,120.
05/01/26 ,07:54, ,120.
05/01/26 ,07:56, ,120.
05/01/26 ,07:58, ,120.
05/01/26 ,08:00, ,120.
05/01/26 ,08:06, ,120.
05/01/26 ,08:08, ,120.
05/01/26 ,08:10, ,120.
05/01/26 ,08:12, ,120.
05/01/26 ,08:14, ,120.
05/01/26 ,08:16, ,120.
05/01/26 ,08:18, ,120.
05/01/26 ,08:20, ,120.
05/01/26 ,08:22, ,120.
05/01/26 ,08:24, ,120.
05/01/26 ,08:26, ,120.
05/01/26 ,08:28, ,120.
05/01/26 ,08:30, ,120.
05/01/26 ,08:32, ,120.
05/01/26 ,08:34, ,120.
05/01/26 ,08:36, ,120.
05/01/26 ,08:38, ,120.
05/01/26 ,08:40, ,120.
05/01/26 ,08:42, ,120.
05/01/26 ,08:44, ,120.
05/01/26 ,08:46, ,120.
05/01/26 ,08:48, ,120.
05/01/26 ,08:50, ,120.
05/01/26 ,08:52, ,120.
05/01/26 ,08:54, ,120.
05/01/26 ,08:56, ,120.
05/01/26 ,08:58, ,120.
05/01/26 ,09:00, ,120.
05/01/26 ,09:02, ,120.
05/01/26 ,09:04, ,120.
05/01/26 ,09:06, ,120.
05/01/26 ,09:08, ,120.
05/01/26 ,09:10, ,120.
05/01/26 ,09:12, ,120.
05/01/26 ,09:14, ,120.
05/01/26 ,09:16, ,120.
05/01/26 ,09:18, ,120.
05/01/26 ,09:20, ,120.
05/01/26 ,09:22, ,120.
05/01/26 ,09:24, ,120.
05/01/26 ,09:26, ,120.
05/01/26 ,09:28, ,120.
05/01/26 ,09:30, ,120.
05/01/26 ,09:32, ,120.
05/01/26 ,09:34, ,120.
05/01/26 ,09:36, ,120.
05/01/26 ,09:38, ,120.
05/01/26 ,09:40, ,120.
05/01/26 ,09:42, ,120.
05/01/26 ,09:44, ,120.
05/01/26 ,09:46, ,120.
05/01/26 ,09:48, ,120.
05/01/26 ,09:50, ,120.
05/01/26 ,09:52, ,120.
05/01/26 ,09:54, ,120.
05/01/26 ,09:56, ,120.
05/01/26 ,09:58, ,120.
05/01/26 ,10:00, ,120.
05/01/26 ,10:02, ,120.
05/01/26 ,10:04, ,120.
05/01/26 ,10:06, ,120.
05/01/26 ,10:08, ,120.
05/01/26 ,10:10, ,120.
05/01/26 ,10:12, ,120.
05/01/26 ,10:14, ,120.
05/01/26 ,10:16, ,120.
05/01/26 ,10:18, ,120.
05/01/26 ,10:20, ,80.
05/01/26 ,10:22, ,80.
05/01/26 ,10:24, ,80.
05/01/26 ,10:26, ,80.
05/01/26 ,10:28, ,80.
05/01/26 ,10:30, ,80.
05/01/26 ,10:32, ,80.
05/01/26 ,10:34, ,80.
05/01/26 ,10:36, ,80.
05/01/26 ,10:38, ,80.
05/01/26 ,10:40, ,80.
05/01/26 ,10:42, ,80.
05/01/26 ,10:44, ,80.
05/01/26 ,10:46, ,80.
05/01/26 ,10:48, ,80.
05/01/26 ,10:50, ,80.
05/01/26 ,10:52, ,80.
05/01/26 ,10:54, ,80.
05/01/26 ,10:56, ,80.
05/01/26 ,10:58, ,80.
05/01/26 ,11:00, ,80.
05/01/26 ,11:02, ,80.
05/01/26 ,11:04, ,80.
05/01/26 ,11:06, ,80.
05/01/26 ,11:08, ,80.
05/01/26 ,11:10, ,80.
05/01/26 ,11:12, ,80.
05/01/26 ,11:14, ,80.
05/01/26 ,11:16, ,80.
05/01/26 ,11:18, ,80.
05/01/26 ,11:20, ,80.
05/01/26 ,11:22, ,80.
05/01/26 ,11:24, ,80.
05/01/26 ,11:26, ,80.
05/01/26 ,11:28, ,80.
05/01/26 ,11:30, ,80.
05/01/26 ,11:32, ,700.
05/01/26 ,11:34, ,80.
05/01/26 ,11:36, ,80.
05/01/26 ,11:38, ,80.
05/01/26 ,11:40, ,80.
05/01/26 ,11:42, ,80.
05/01/26 ,11:44, ,80.
05/01/26 ,11:46, ,80.
05/01/26 ,11:48, ,80.
05/01/26 ,11:50, ,80.
05/01/26 ,11:52, ,80.
05/01/26 ,11:54, ,80.
05/01/26 ,11:56, ,80.
05/01/26 ,11:58, ,80.
05/01/26 ,12:00, ,80.
05/01/26 ,12:02, ,80.
05/01/26 ,12:04, ,80.
05/01/26 ,12:06, ,80.
05/01/26 ,12:08, ,80.
05/01/26 ,12:10, ,80.
05/01/26 ,12:12, ,80.
05/01/26 ,12:16, ,80.
05/01/26 ,12:18, ,80.
05/01/26 ,12:20, ,80.
05/01/26 ,12:22, ,80.
05/01/26 ,12:24, ,80.
05/01/26 ,12:26, ,80.
05/01/26 ,12:28, ,80.
05/01/26 ,12:30, ,80.
05/01/26 ,12:32, ,80.
05/01/26 ,12:34, ,80.
05/01/26 ,12:36, ,80.
05/01/26 ,12:38, ,80.
05/01/26 ,12:40, ,80.
05/01/26 ,12:42, ,80.
05/01/26 ,12:44, ,80.
05/01/26 ,12:46, ,80.
05/01/26 ,12:48, ,80.
05/01/26 ,12:50, ,80.
05/01/26 ,12:52, ,80.
05/01/26 ,12:54, ,80.
05/01/26 ,12:56, ,80.
05/01/26 ,12:58, ,80.
05/01/26 ,13:00, ,80.
05/01/26 ,13:02, ,80.
05/01/26 ,13:04, ,80.
05/01/26 ,13:06, ,80.
05/01/26 ,13:08, ,80.
05/01/26 ,13:12, ,40.
05/01/26 ,13:14, ,40.
05/01/26 ,13:16, ,40.
05/01/26 ,13:18, ,40.
05/01/26 ,13:20, , 
05/01/26 ,13:22, ,40.
05/01/26 ,13:24, ,40.
05/01/26 ,13:26, ,40.
05/01/26 ,13:28, ,40.
05/01/26 ,13:30, ,40.
05/01/26 ,13:32, ,40.
05/01/26 ,13:34, ,40.
05/01/26 ,13:36, ,40.
05/01/26 ,13:38, ,40.
05/01/26 ,13:40, ,40.
05/01/26 ,13:42, ,40.
05/01/26 ,13:44, ,40.
05/01/26 ,13:46, ,40.
05/01/26 ,13:48, ,40.
05/01/26 ,13:50, ,40.
05/01/26 ,13:52, ,40.
05/01/26 ,13:54, ,40.
05/01/26 ,13:56, ,40.
05/01/26 ,13:58, ,40.
05/01/26 ,14:00, ,40.
05/01/26 ,14:02, ,40.
05/01/26 ,14:04, ,40.
05/01/26 ,14:06, ,40.
05/01/26 ,14:08, ,40.
05/01/26 ,14:10, ,40.
05/01/26 ,14:12, ,41.
05/01/26 ,14:14, ,40.
05/01/26 ,14:16, ,40.
05/01/26 ,14:18, ,40.
05/01/26 ,14:20, ,40.
05/01/26 ,14:22, ,40.
05/01/26 ,14:24, ,40.
05/01/26 ,14:26, ,40.
05/01/26 ,14:28, ,40.
05/01/26 ,14:30, ,40.
05/01/26 ,14:32, ,40.
05/01/26 ,14:34, ,40.
05/01/26 ,14:36, ,40.
05/01/26 ,14:38, ,40.
05/01/26 ,14:40, ,40.
05/01/26 ,14:42, ,40.
05/01/26 ,14:44, ,40.
05/01/26 ,14:46, ,40.
05/01/26 ,14:48, ,40.
05/01/26 ,14:50, ,40.
05/01/26 ,14:52, ,40.
05/01/26 ,14:54, ,40.
05/01/26 ,14:56, ,40.
05/01/26 ,14:58, ,40.
05/01/26 ,15:00, ,40.
05/01/26 ,15:02, ,40.
05/01/26 ,15:04, ,40.
05/01/26 ,15:06, ,40.
05/01/26 ,15:08, ,40.
05/01/26 ,15:10, ,40.
05/01/26 ,15:12, ,40.
05/01/26 ,15:14, ,40.
05/01/26 ,15:16, ,40.
05/01/26 ,15:18, ,40.
05/01/26 ,15:20, ,40.
05/01/26 ,15:22, ,40.
05/01/26 ,15:24, , 
05/01/26 ,15:26, ,40.
05/01/26 ,15:28, ,40.
05/01/26 ,15:30, ,40.
05/01/26 ,15:32, ,40.
05/01/26 ,15:34, ,40.
05/01/26 ,15:36, ,40.
05/01/26 ,15:38, ,40.
05/01/26 ,15:40, ,40.
05/01/26 ,15:42, ,40.
05/01/26 ,15:44, ,40.
05/01/26 ,15:46, ,40.
05/01/26 ,15:48, ,40.
05/01/26 ,15:50, ,40.
05/01/26 ,15:52, ,40.
05/01/26 ,15:54, ,40.
05/01/26 ,15:56, ,40.
05/01/26 ,15:58, ,40.
05/01/26 ,16:00, ,41.
05/01/26 ,16:02, ,40.
